Collar,2,3,4,6,7,8,9,11,12,13,14,19,21,22,23,24,25,26,29,33,36,39
,,,,,,,,,,,,,,,,,,,,,,
Offset,5,4,-8,-52,-8,34,10,52,52,-10,62,41,78,8,-88,41,74,-6,-99,-89,-45,-35
