,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
2->19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->26,0.655562794,0.656600623,0.657633398,0.658666139,0.659698773,0.66073122,0.661763395,0.662795207,0.663826557,0.664857338,0.665881253,0.66690409,0.667925697,0.668945907,0.669964541,0.670981403,0.671996276,0.673008926,0.674019096,0.675026504,0.676030836,0.677031751,0.678037121,0.679047224,0.68006237,0.681082903,0.682109207,0.683141715,0.68418091,0.685227342,0.686281629,0.687344479,0.688416698,0.689499213,0.690593091,0.691699575,0.69282011,0.693956395,0.695081348,0.696223598,0.69736954,0.698519529,0.699691868,0.70089032,0.702119593,0.703385651,0.704696166,0.706036247,0.707412924,0.708806228,0.710220563,0.711626035,0.713100093,0.714624765,0.716224396,0.717877095,0.719620799,0.721434049,0.723416507,0.725403536,0.725403536,0.727395152,0.729280349,0.731475679,0.733464613,0.734960711,0.735791218,0.735994973,0.735743282,0.735173054,0.734402163,0.733509235,0.732497217,0.731416057,0.730280062,0.729079158,0.727844877,0.726583198,0.725316289,0.724045237,0.72277092,0.721494057,0.720215238,0.718934958,0.71765363,0.716371603,0.715077041,0.713783231,0.712490299,0.711198353,0.709907486,0.708627938,0.707339138,0.706042114,0.704728531,0.703408989,0.702092886,0.700780101,0.699470525,0.698172087,0.696884075,0.695605843,0.694336807,0.693076435,0.691824242,0.690579784,0.689342658,0.688112491,0.686888942,0.685671697,0.684460466,0.683254982,0.682054998,0.680860284,0.679670627,0.67848583,0.677305708,0.676130091,0.674958819,0.673791741
2->29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3->4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3->6,0.465593146,0.465871859,0.466150783,0.466429924,0.466709157,0.466988481,0.467267963,0.467547607,0.467827416,0.468107394,0.46838747,0.468667493,0.468947607,0.469227733,0.469507784,0.469787748,0.470067611,0.470347531,0.470627768,0.470908158,0.471188704,0.471469315,0.471749988,0.47203072,0.472311711,0.47259287,0.472874201,0.473155599,0.47343706,0.473718699,0.474000399,0.474282028,0.474563433,0.47484444,0.475124988,0.475405011,0.475684273,0.475962822,0.476240545,0.476517485,0.476793883,0.477069439,0.477344201,0.47761867,0.477892536,0.478166408,0.478439996,0.478714074,0.478988429,0.479262767,0.479537429,0.479812488,0.480087118,0.480361092,0.480632778,0.480901491,0.481168675,0.481433953,0.481698074,0.481961037,0.481961037,0.482224093,0.482485989,0.482747665,0.483010812,0.483273489,0.483536473,0.483799215,0.484058894,0.484315325,0.484569071,0.484819567,0.485066419,0.485309073,0.485547628,0.485781446,0.48601115,0.486236176,0.486455478,0.486668786,0.486876961,0.487079846,0.487277642,0.487469253,0.487654666,0.487833577,0.488006288,0.4881713,0.488329015,0.488478394,0.488619141,0.488750998,0.488874194,0.488988043,0.489092584,0.489187958,0.489274086,0.489350997,0.489419007,0.48947774,0.489526854,0.489565588,0.489594048,0.48961207,0.489619336,0.489616383,0.489603622,0.489581507,0.489550534,0.48951116,0.489463732,0.489408644,0.489345971,0.489276209,0.489199747,0.489117283,0.489028871,0.488934754,0.48883542,0.488731194
3->7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
