Collar_number,Offset_fix
2,5.0
3,4.0
4,-8.0
6,-52.0
7,-8.0
8,34.0
9,10.0
11,52.0
12,52.0
13,-10.0
14,62.0
19,41.0
21,78.0
22,8.0
23,-88.0
24,41.0
25,74.0
26,-6.0
29,-99.0
33,-89.0
36,-45.0
39,-35.0
