Pair: a-b,a_xor_b,a_union_b,a_to_b,b_to_a
36->9,0,0,0,0
9->39,0,0,0,0
39->9,0,0,0,0
11->12,0,0,0,0
12->11,0,0,0,0
11->13,0,0,0,0
13->11,0,0,0,0
11->14,0,17,0,17
14->11,0,17,17,0
11->19,0,0,0,0
19->11,0,0,0,0
11->21,0,0,0,0
21->11,0,0,0,0
11->22,0,0,0,0
22->11,0,0,0,0
11->23,0,0,0,0
23->11,0,0,0,0
11->24,340173,450613,394380,396406
24->11,340173,450613,396406,394380
11->25,0,0,0,0
25->11,0,0,0,0
11->26,0,0,0,0
26->11,0,0,0,0
11->29,0,0,0,0
29->11,0,0,0,0
11->33,344848,574353,373295,545906
33->11,344848,574353,545906,373295
11->36,0,0,0,0
36->11,0,0,0,0
11->39,0,0,0,0
39->11,0,0,0,0
12->13,0,1,0,1
13->12,0,1,1,0
12->14,0,0,0,0
14->12,0,0,0,0
12->19,1514,4702,1535,4681
19->12,1514,4702,4681,1535
12->21,0,0,0,0
21->12,0,0,0,0
12->22,0,0,0,0
22->12,0,0,0,0
12->23,0,0,0,0
23->12,0,0,0,0
12->24,0,0,0,0
24->12,0,0,0,0
12->25,0,0,0,0
25->12,0,0,0,0
12->26,0,0,0,0
26->12,0,0,0,0
12->29,0,0,0,0
29->12,0,0,0,0
12->33,0,0,0,0
33->12,0,0,0,0
12->36,7990,23039,8729,22300
36->12,7990,23039,22300,8729
12->39,0,0,0,0
39->12,0,0,0,0
13->14,0,0,0,0
14->13,0,0,0,0
13->19,0,1,0,1
19->13,0,1,1,0
13->21,0,0,0,0
21->13,0,0,0,0
13->22,0,0,0,0
22->13,0,0,0,0
13->23,0,0,0,0
23->13,0,0,0,0
13->24,0,0,0,0
24->13,0,0,0,0
13->25,0,0,0,0
25->13,0,0,0,0
13->26,0,0,0,0
26->13,0,0,0,0
13->29,0,0,0,0
29->13,0,0,0,0
13->33,0,0,0,0
33->13,0,0,0,0
13->36,0,0,0,0
36->13,0,0,0,0
13->39,0,0,0,0
39->13,0,0,0,0
14->19,0,0,0,0
19->14,0,0,0,0
14->21,0,0,0,0
21->14,0,0,0,0
14->22,0,0,0,0
22->14,0,0,0,0
14->23,0,0,0,0
23->14,0,0,0,0
